Comentario,Polaridad,Aspectos
la caratula sin errores ortograficos,1,"caratula, errores"
la estructura del documento se visualiza correctamente tambien cuenta con la mayoria de los elementos solicitados pero no cuenta con herencias y en ciertos casos de uso no se realizaron con la sintaxis correcta,0,"estructura, documento"
no existen herencias la relacion entre los casos de uso no estan correctamente disenados no existe un orden y contiene errores de comunicacion existen casos de uso la aislados y la aplicacion de los include no es la correcta en los casos de uso como cancelar reserva y validar usuario donde ademas de no haber ninguna relacion este incluye mas casos de uso como consultar reserva no existe concordancia,-1,"herencias, relacion"
al existir tantos errores en el procedimientos es notorio que son pocos los casos de uso con un buen funcionamiento,-1,"errores, procedimientos"
la caratula sin errores ortograficos,1,"caratula, errores"
estructura no contiene codigo prioridad,-1,"estructura, prioridad"
en el procedimiento aplica correctamente los include extends y herencia,1,"procedimiento, herencia"
en el funcionamiento le falta un include a la hora de registrar un contrato de furgoneta para verficar si hay disponibilidad de furgoneta,-1,"funcionamiento, include"
la caratula sin errores ortograficos,1,"caratula, errores"
la sintaxis de los casos de uso es correcta sin embargo dentro de la estructura los casos de usos no cuentan con el codigo de prioridad,0,"sintaxis, casos"
el caso de uso cancelar reserva tiene un include con el caso de uso validar usuario sin embrago no existe una secuencia logica ya que no existe conexion con el caso de uso registrar cliente,-1,"caso, uso"
en los casos de uso no existe el requerimiento de las altas y bajas de los vehiculos por lo tanto no existen vehiculos registrados en los casos de usos registrar contrato de furgoneta y automovil no existe una secuencia logica ya que no consulta si existe o no una reserva de dicho vehiculo al cual se quiere generar el contrato,-1,"casos, uso"
la caratula sin errores ortograficos,1,"caratula, errores"
no esta facil de entender ya que hay casos de uso que no estan bien definidos y por ultimo tiene casos de uso que no tienen relacion en este caso son islas,-1,"facil, casos"
no se ha utilizado el extends ni herencia en el caso de estudio y no tiene la logica requerida para la respectiva factibilidad,-1,"herencia, caso"
no cumple con todos los requerimientos solicitados ni con las funcionalidades,-1,"requerimientos, funcionalidades"
excelente presentacion de la caratula contiene todos los elementos requeridos,1,"presentacion, caratula"
falto ubicar el codigo de orden a cada caso de uso,-1,"codigo, orden"
algunos casos de uso no presenta una correcta secuencia logica por ejemplo el caso de uso consultar reserva y validar reserva no presenta logica alguna,-1,"casos, uso"
el diagrama de caso de uso no presenta una correcta funcionabilidad debido a la falta de correctas interacciones,-1,"diagrama, caso"
si posee todos los parametros indicados en la caratula y no posee errores ortograficos,1,"parametros, caratula"
la estructura no esta ordenada dificultando el entendimiento del diagrama la sintaxis utilizada no es la correcta algunos casos de uso no presentan el verbo en infinitivo mas el objeto los casos de uso no presentan codigo y existen islas,-1,"estructura, entendimiento"
la solucion presentada tiene pocos procesos con secuencia logica no hay una correcta aplicacion de include y extend,-1,"solucion, procesos"
la solucion no posee una correcta funcionalidad con algunos de los requerimientos del caso de estudio ademas los casos de uso no demuestran una interaccion con el objeto,-1,"solucion, funcionalidad"
la caratula contiene errores ortograficos,-1,"caratula, errores"
el documento en la sintaxis no contiene el codigo para cada caso de uso respectivo,-1,"documento, sintaxis"
el documento contiene de manera correcta los procesos,1,"documento, manera"
la solucion solo cumple en algunos requerimientos especialmente en los requerimientos del empleado al tomar como empleado como sistema,0,"requerimientos, requerimientos"
la estructura de la caratula y su contenido son correctos y en la descripcion del problema no se han encontrado faltas ortograficas,1,"estructura, caratula"
los casos de uso estan separados en  islas el sentido de las flechas tanto del include como del extend depende de la funcionalidad pero existen no hay codigo de casos de uso el sistema no es un usuario por lo tanto la estructura se visualiza con dificultad debido a que contiene algunos elementos la sintaxis no es correcta y no esta ordenada,-1,"casos, uso"
usa de forma incorrecta tanto include como extend no existe ninguna herencia entre actores y la herencia de casos de usos existente no tienen ninguna secuencia logica no hay una correcta asociacion entre actores y casos de uso por lo tanto no hay procesos correctos y hay una nula secuencia logica en el documento,-1,"forma, extend"
los casos de uso no incluyen todos los requerimientos del caso de estudio si bien estan escritos algunos de los requerimiento no funcionan de manera correcta debido a la mala asociacion de los mismos con los demas casos de uso la interaccion con el objeto de cada caso de uso es incorrecta debido a la utilizacion de multiples objetos dentro de una misma funcionalidad no hay registro de automoviles no hay una correcta validacion de usuario y permite que tanto empleado como cliente creen un nuevo usuario y este caso de uso no lleva a ningun lado por lo tanto la solucion propuesta tiene funcionalidades incorrectas de todos los requerimientos descritos,-1,"casos, uso"
la caratula cumple con todos los parametros requeridos para la presentacion del trabajo y el documento cuenta con el enunciado de los requerimientos que describe la ejecucion del trabajo no existen errores ortograficos,1,"caratula, parametros"
no existe codigo para cada caso de uso existen varias islas la definicion del nombre de los casos de uso es correcta pero no hay orden,0,"codigo, caso"
herencia no esta aplicada correctamente la aplicacion de includes y extends es inentendible no existe una logica en la asociacion entre casos de uso,-1,"herencia, includes"
no se incluyen algunos requerimientos del caso de estudio ni se implementan algunas funcionalidades,-1,"requerimientos, caso"
la caratula sin errores ortograficos,1,"caratula, errores"
la comunicacion entre algunos casos de uso es incorrecta los casos de uso no contiene codigo por tanto no esta ordenada y existen casos de usos aislados,-1,"comunicacion, casos"
tiene algunos procesos sin secuencia logica no esta aplicado de forma correcta el extend en el caso de uso consultar automovil falta comunicacion entre casos de usos no han aplicado herencias entre actores,-1,"procesos, secuencia"
no existe funcionalidad correcta de algunos procesos y el diagrama no cumple con todos los requerimientos del enunciado,-1,"funcionalidad, procesos"
la caratula sin errores ortograficos,1,"caratula, errores"
existe mala comunicacion entre los actores y caso de uso algunos no cumplen con la sintaxis algunos casos de uso tienen islas y no estan ordenados,-1,"comunicacion, actores"
la solucion tiene procesos sin secuencia logica,-1,"solucion, procesos"
no incluye algunos requerimientos descritos del casos de uso y no demuestran interaccion con algunos objetos,-1,"requerimientos, casos"
excelente presentacion de la caratula contiene todos los elementos requeridos,1,"presentacion, caratula"
falto ubicar el codigo de orden a cada caso de uso pero si presenta un debido orden,0,"codigo, orden"
algunos casos de uso no presenta una correcta secuencia logica por ejemplo el caso de uso generar informe no presenta logica alguna,-1,"casos, uso"
las funcionalidades del diagrama de caso de uso presenta un incorrecto funcionamiento debido a el mal empleo de las asociaciones entre sus casos de uso y actores,-1,"funcionalidades, diagrama"
si posee todos los parametros indicados en la caratula y no posee errores ortograficos,1,"parametros, caratula"
la estructura si posee todos los elementos y tiene una correcta sintaxis pero no estan ordenados los casos de uso dificultando el entendimiento,0,"estructura, elementos"
cumple con todos los procedimientos y secuencias logica si hay una correcta aplicacion de include y extend entre casos de uso,1,"procedimientos, secuencias"
la solucion presentada si cumple con todos los requerimientos estipulados en el caso de estudio y los casos de uso si demuestran una correcta interaccion con los objetos,1,"solucion, requerimientos"
la caratula cumple con todos los nombres descritos en la rubrica ademas no posee errores ortograficos,1,"caratula, nombres"
el diagrama posee todos los elementos la sintaxis de todos los casos de uso es correcta exceptuando que no presenta el codigo de los casos de uso,0,"diagrama, elementos"
el proceso y la secuencia logica se cumplen totalmente,1,"proceso, secuencia"
a los actores empleado y gerente le falta casos de uso para tener acceso al sistema no puede registrar a los usuarios no hay conexion entre registrar contrato_auto y consultar contrato_automovil,-1,"actores, gerente"
la caratula sin errores ortograficos,1,"caratula, errores"
la estructura no fue lo suficientemente ordenada con la union de lineas,-1,"estructura, union"
no tiene herencia,-1,herencia
la autenticacion esta mal planteada,-1,autenticacion
la caratula cumple todos los requerimientos sin faltas de ortografia,1,"caratula, requerimientos"
las estructura se entiende pero pudo estar mas ordenada,0,estructura
se utilizaron correctamente todos los procesos,1,procesos
se cumplen con los requerimientos indicados,1,requerimientos
la caratula sin errores ortograficos,1,"caratula, errores"
al diagrama le hace falta el codigo de caso de uso pero si es posible entender,0,"diagrama, falta"
no tiene herencia,-1,herencia
el funcionamiento es correcto,1,funcionamiento
la caratula sin errores ortograficos,1,"caratula, errores"
tiene la mayoria de los elementos no contiene codigo los casos de uso,0,"mayoria, elementos"
la mayoria de los procesos tienen secuencia logica el proceso de generar informe no tiene aplicado de forma correcta el extend en el caso de uso imprimir reporte,0,"mayoria, procesos"
la mayoria de los casos de usos tienen funcionalidad correcta y cumple con los requerimientos especificados el caso de uso generar informe tiene una funcionalidad incorrecta,0,"mayoria, casos"
la caratula tiene errores ortograficos,-1,"caratula, errores"
los casos de uso no contiene codigo y no existe ningun tipo de herencia,-1,"casos, uso"
la secuencia logica es acertada y la aplicacion de include y extend funciona correctamente,1,secuencia
al no existir herencia entre actores no hay formas de que el empleado registre a un nuevo usuario para que pueda hacer el contrato no se encuentra la validacion de codigo de contrato para que el empleado puedo hacer el contrato no existen casos de uso para que el empleado pueda anular un contrato el gerente contiene dos casos de uso que pueden ser extraidos de casos de uso anteriores,-1,"herencia, actores"
la caratula sin errores ortograficos,1,"caratula, errores"
se visualizan casi todos los casos y estan bien dirigidas las flecha de los includes y extend,1,"casos, flecha"
en esta parte cumple con casi todo lo estipulado y no cuenta con herencia,0,"parte, herencia"
falta un genera contrato no cumple con todo lo estipulado en el caso practico,-1,"contrato, caso"
la caratula contiene los datos correctos pero en el documento les falto colocar la numeracion del enunciado del problema,0,"caratula, datos"
la elementos se visualiza correctamente aplicaron bien la sintaxis entre los caso de uso pero no estan ordenados,0,"elementos, sintaxis"
